id,formula,cif_path,split,y_true,model_energy_per_atom,pred_element_reference,pred_affine_energy_composition,pred_composition_only_linear,natoms,nelements
mp-10931,HoSF,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-10931.cif,train,-3.333161717604165,-6.524456024169922,-3.287605243855084,-3.2904873969528268,-2.2849422865769102,6,3
mp-555514,OsOF5,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-555514.cif,train,-1.6485380958928582,-5.221673148018973,-2.01895609981778,-2.015326391424612,-3.2816836608184485,28,3
mp-3669,Mn(NbS2)4,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-3669.cif,train,-1.2656469743832872,-7.415438138521635,-1.1991748849959745,-1.1987671396452884,-1.341024101628942,26,3
mp-28926,Ba5(TiN3)2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-28926.cif,train,-1.1743559773717958,-6.774296100323017,-1.1276413904631948,-1.1273454488455972,-1.230595566531754,26,3
mp-866200,Li2SmTl,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-866200.cif,train,-0.3359773408333346,-2.976157188415528,-0.4175169312891631,-0.4166834215817685,-0.7074839385157672,4,3
mp-30012,BiKrF7,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-30012.cif,train,-1.2591691451851843,-3.0985291798909507,-1.410138761764621,-1.4084647748728214,-1.9924966694662265,36,3
mp-1103172,CaCdPd,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1103172.cif,train,-0.6209476274999991,-3.305216789245605,-0.6318690674863552,-0.6320575426479156,-0.5663010506414841,12,3
mp-1187041,SmGdZn2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1187041.cif,train,-0.346303647500001,-5.672252655029297,-0.3806086370108374,-0.3795949879785834,-0.7332437337117261,4,3
mp-3472,PbSO4,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-3472.cif,train,-1.6053818763020828,-6.0465437571207685,-1.887434942328725,-1.8857157602977412,-2.485515641313224,24,3
mp-1834,NdAl4,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1834.cif,train,-0.3350309014999993,-4.247277069091797,-0.3089700648317448,-0.3085082821109735,-0.4696181680797395,5,2
mp-1103225,Pr2Al,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1103225.cif,train,-0.274225072777772,-4.671749114990234,-0.2991740819162638,-0.29719896335095,-0.9862917174130812,12,2
mp-976404,NaF3,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-976404.cif,train,-1.2423262325000004,-2.8462560176849365,-1.526081784839139,-1.5213448451967384,-3.1740004585592927,4,2
mp-1072474,TmSe2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1072474.cif,train,-1.727125514375004,-5.322510719299316,-1.6795855682268512,-1.6807310234332808,-1.2810968461640342,6,2
mp-1195483,BaTh2S5,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-1195483.cif,train,-2.365291344882809,-6.748065948486328,-2.281723109009822,-2.283075102449933,-1.8113824661274345,32,3
mp-754064,MnP2,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-754064.cif,train,-0.4076486334783785,-7.071756998697917,-0.4890167199749688,-0.4887628532611998,-0.5773335932828788,6,2
mp-20650,CeCrGe3,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-20650.cif,train,-0.4565596400000004,-6.290059661865234,-0.486689102353,-0.4862477535789784,-0.6402285056827854,10,3
mp-559299,VPO5,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-559299.cif,train,-2.40546967810374,-7.334419795445034,-2.2032315969316985,-2.2022352979773068,-2.549830830928892,14,3
mp-760343,FePO4,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-760343.cif,train,-2.114548427579365,-7.097663243611653,-1.887001929756238,-1.885797306043738,-2.3060745928028,24,3
mp-4930,TiAl2O5,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-4930.cif,train,-3.3160627788020847,-8.02061939239502,-3.3747905994765297,-3.3777459101749816,-2.3466770801398518,16,3
mp-9063,RbSe,<PROJECT_ROOT>/external_datasets/functional_protocol_round4_widechem_boost/meta_gga_r2scan/cif/mp-9063.cif,train,-1.100774220156249,-3.161139806111654,-1.0691344154738354,-1.0691243238437238,-1.072645160166946,12,2
